1.1.1.1 1ms test
173.245.49.63 184ms LAX
103.21.244.63 277ms ORD
141.101.113.63 311ms SJC
141.101.114.63 342ms SJC
141.101.115.63 300ms SJC
141.101.120.63 199ms LAX
141.101.121.63 218ms LAX
141.101.122.63 192ms LAX
141.101.123.63 220ms LAX
198.41.208.63 321ms SJC
198.41.209.63 321ms SJC
198.41.211.63 273ms SJC
198.41.212.63 185ms LAX
198.41.215.63 307ms SJC
162.159.36.63 298ms SJC
162.159.46.63 307ms SJC
162.159.128.63 307ms SJC
162.159.129.63 327ms SJC
162.159.130.63 289ms SJC
162.159.131.63 302ms SJC
162.159.132.63 335ms SJC
162.159.133.63 336ms SJC
162.159.134.63 305ms SJC
162.159.135.63 333ms SJC
162.159.136.63 304ms SJC
162.159.138.63 303ms SJC
162.159.152.63 298ms SJC
162.159.153.63 322ms SJC
162.159.160.63 476ms LHR
162.159.255.63 291ms SJC
104.16.79.63 154ms HKG
104.17.50.63 113ms HKG
104.19.152.63 124ms HKG
104.19.199.63 119ms HKG
104.20.15.63 112ms KIX
104.24.21.63 112ms KIX
104.24.30.63 157ms KIX
104.24.77.63 121ms KIX
104.24.82.63 109ms KIX
104.24.144.63 106ms KIX
104.24.156.63 113ms KIX
104.24.191.63 110ms KIX
104.24.231.63 109ms KIX
104.24.246.63 118ms KIX
104.25.30.63 110ms KIX
104.25.44.63 110ms KIX
104.25.247.63 148ms KIX
104.25.253.63 118ms KIX
104.27.32.63 142ms KIX
104.27.58.63 113ms KIX
104.27.65.63 100ms KIX
104.27.126.63 150ms KIX
104.27.143.63 143ms AMS
104.28.24.63 118ms KIX
104.28.37.63 118ms KIX
104.28.87.63 107ms KIX
104.28.211.63 111ms KIX
104.28.246.63 117ms KIX
104.31.145.63 113ms KIX
172.64.36.63 328ms SJC
172.64.37.63 323ms SJC
172.64.66.63 321ms SJC
172.64.67.63 332ms SJC
172.64.69.63 309ms SJC
172.64.70.63 306ms SJC
172.64.71.63 332ms SJC
